HOTELID,NAME,CITY,COUNTRY
1,,data,beijing
2,,data,chicago
3,,data,las-vegas
4,,data,london
5,,data,montreal
6,,data,new-delhi
7,,data,new-york-city
8,,data,san-francisco
9,,data,shanghai
10,aloft-beijing-haidian,beijing,china
11,ascott-beijing,beijing,china
12,autumn-garden-courtyard-hotel,beijing,china
13,bamboo-garden-hotel,beijing,china
14,beijing-century-towers,beijing,china
15,beijing-dong-fang-hotel,beijing,china
16,beijing-far-east-international-youth-hostel,beijing,china
17,beijing-friendship-hotel-grand-building,beijing,china
18,beijing-guangming-hotel,beijing,china
19,beijing-hotel,beijing,china
20,beijing-international-hotel,beijing,china
21,beijing-jade-international-youth-hostel,beijing,china
22,beijing-sihe-courtyard-hotel,beijing,china
23,bohao-radegast-hotel-beijing,beijing,china
24,capital-hotel-beijing,beijing,china
25,china-world-hotel,beijing,china
26,city-hotel-beijing,beijing,china
27,commune-by-the-great-wall-kempinski,beijing,china
28,courtyard-7,beijing,china
29,courtyard-by-marriott,beijing,china
30,courtyard-by-marriott-beijing-northeast,beijing,china
31,crowne-plaza-hotel-beijing,beijing,china
32,crowne-plaza-hotel-zhongguancun,beijing,china
33,crowne-plaza-international-airport-hotel-beijing,beijing,china
34,crowne-plaza-park-view-wuzhou,beijing,china
35,crowne-plaza-sun-palace-beijing,beijing,china
36,days-inn-forbidden-city-beijing,beijing,china
37,days-inn-joiest-beijing,beijing,china
38,doubletree-by-hilton-beijing,beijing,china
39,double-happiness-courtyard-hotel,beijing,china
40,empark-grand-hotel,beijing,china
41,fujian-hotel,beijing,china
42,gloria-plaza-hotel-beijing,beijing,china
43,grand-hotel-beijing,beijing,china
44,grand-hyatt-beijing,beijing,china
45,grand-mercure-hotel-xidan,beijing,china
46,grand-millennium-beijing,beijing,china
47,grand-view-garden-hotel,beijing,china
48,guangzhou-hotel,beijing,china
49,harmony-hotel,beijing,china
50,hebei-hotel-beijing,beijing,china
51,hilton-beijing,beijing,china
52,hilton-beijing-wangfujing,beijing,china
53,holiday-inn-beijing-lido,beijing,china
54,holiday-inn-central-plaza,beijing,china
55,holiday-inn-chang-an-west,beijing,china
56,holiday-inn-downtown-beijing,beijing,china
57,holiday-inn-express-beijing-minzuyuan,beijing,china
58,holiday-inn-express-beijing-temple-of-heaven,beijing,china
59,holiday-inn-express-beijing-wangjing,beijing,china
60,holiday-inn-temple-of-heaven,beijing,china
